question,reponse,lemmas_rep,lemmas_quest,stem_rep,stem_quest
Quels sont les forfaits vacances disponibles ?,"Nos forfaits vacances répondent à tous vos besoins. Vous pouvez choisir votre forfait de façon à inclure l'un des services suivants :billets d'entrée aux Parcs Disneyséjour dans un hôtel Disney ou un hôtel partenairetransfert vers et depuis Disneylandcoupons repasen option : location d'un véhicule, repas avec les personnages Disney ou billets pour des spectacles et performances Disney (avec supplément).","notre forfait vacance répondre à tout votre besoin . vous pouvoir choisir votre forfait de façon à inclure le un un service suivant : billet de entrée al parc Disneyséjour dans un hôtel disney ou un hôtel partenairetransfert vers et depuis disneylandcoupon repasen option : location de un véhicule , reper avec le personnage disney ou billet pour un spectacle et performance Disney ( avec supplément ) .",quel être le forfait vacance disponible ?,"nos forfait vacanc répondent à tous vos besoin . vous pouv chois votr forf de façon à inclur l'un de servic suiv : billet d'entr aux parc disneyséjour dan un hôtel disney ou un hôtel partenairetransfert ver et depuis disneylandcoupon repasen option : locat d'un véhicul , rep avec le personnag disney ou billet pour de spectacl et perform disney ( avec suppl ) .",quel sont le forfait vacanc disponibl ?
Comment supprimer les cookies Flash ?,"Voici comment modifier les paramètres Flash. Souvenez-vous que si vous désactivez des cookies Flash, vous n'aurez pas accès à de nombreuses fonctions qui rendent votre expérience plus efficace et certains de nos services ne fonctionneront pas correctement.","voici comment modifier le paramètre Flash . souvenir - vous que si vous désactiver un cookie Flash , vous n' avoir pas accès à de nombreux fonction qui rendre votre expérience plus efficace et certains de notre service ne fonctionner pas correctement .",comment supprimer le cookie Flash ?,"voic comment modifi le parametr flash . souvenez-vous que si vous désactiv de cook flash , vous n'aur pas acces à de nombreux fonction qui rendent votr expérient plus efficac et certain de nos servic ne fonction pas correct .",comment supprim le cook flash ?
Quels types de restaurants trouve t-on dans les Parcs Disney ?,"Disneyland Paris dispose de plus de 65 restaurants et bars aux spécialités et tarifs divers. Vous pouvez découvrir tout un monde de délices culinaires, des snacks aux stands jusqu'aux dîners gourmets. Pour les gourmands, des buffets Tex-Mex et des barbecues vous sont proposés dans des cadres à thème. Vous pouvez également vous restaurer dans des chaînes internationales comme McDonalds et Starbucks. Vous pouvez même partager un repas avec des personnages Disney : réservez-le dès aujourd'hui !En savoir plus sur nos menus enfants et nos solutions pour les personnes ayant des besoins alimentaires particuliers","disneyland Paris dispose de plus de 65 restaurant et bar al spécialité et tarif divers . vous pouvoir découvrir tout un monde de délice culinaire , un snack al stand jusque au dîner gourmet . pour le gourmand , un buffet tex - Mex et un barbecue vous être proposer dans un cadre à thème . vous pouvoir également vous restaurer dans un chaîne international comme McDonalds et starbuck . vous pouvoir même partager un repas avec un personnage disney : réservez - le dès aujourd'hui ! en savoir plus sur notre menu enfant et notre solution pour le personne avoir un besoin alimentaire particulier",quel type de restaurant trouve t - on dans le parc Disney ?,"disneyland paris dispos de plus de 65 restaur et bar aux spécial et tarif diver . vous pouv découvr tout un mond de délic culinair , de snack aux stand jusqu'al dîner gourmet . pour le gourmand , de buffet tex-mex et de barbecu vous sont propos dan de cadr à them . vous pouv égal vous restaur dan de chaîn international comm mcdonald et starbuck . vous pouv mêm partag un rep avec de personnag disney : réservez-l des aujourd'hui ! en savoir plus sur nos menus enfant et nos solut pour le person ayant de besoin alimentair particuli",quel typ de restaur trouv t-on dan le parc disney ?
Quels concerts y a-t-il actuellement au Disney Village ?,"Découvrez les superbes concerts qui se dérouleront bientôt au Disney Village. Il s'y passe toujours quelque chose de spécial, qu'il s'agisse d'événements irlandais pour la St Patrick ou de prestations des meilleurs musiciens de blues européens.","découvrez le superbe concert qui se dérouler bientôt au Disney Village . il se y passer toujours quelque chose de spécial , que il se agir de événement irlander pour le st Patrick ou de prestation un meilleur musicien de blue européen .",quel concert y avoir t il actuellement au disney Village ?,"découvr le superb concert qui se déroul bientôt au disney villag . il s ' y pass toujour quelqu chos de spécial , qu'il s'ag d'éven irland pour la st patrick ou de prestat de meilleur musicien de blu européen .",quel concert y a-t-il actuel au disney villag ?
Comment connaître la disponibilité des chambres avant de finaliser ma réservation ?,"Vous pouvez consulter la disponibilité des chambres d'hôtel en temps réel grâce à notre service de réservation en ligne. Utilisez-le pour sélectionner vos dates de vacances, votre forfait, votre hôtel et le nombre de visiteurs. Cela vous permettra de connaître les disponibilités de cet hôtel à ce moment-là. Vous pourrez ensuite finaliser votre réservation ou lancer une nouvelle recherche.","vous pouvoir consulter le disponibilité un chambre de hôtel en temps réel grâce à notre service de réservation en ligne . Utilisez - le pour sélectionner votre date de vacance , votre forfaire , votre hôtel et le nombre de visiteur . cela vous permettre de connaître le disponibilité de ce hôtel à ce moment - là . vous pouvoir ensuite finaliser votre réservation ou lancer un nouveau recherche .",comment connaître le disponibilité un chambre avant de finaliser mon réservation ?,"vous pouv consult la disponibil de chambr d'hôtel en temp réel grâc à notr servic de réserv en lign . utilisez-l pour sélection vos dat de vacanc , votr forf , votr hôtel et le nombr de visiteur . cel vous permettr de connaîtr le disponibil de cet hôtel à ce moment-là . vous pourr ensuit finalis votr réserv ou lanc une nouvel recherch .",comment connaîtr la disponibil de chambr avant de finalis ma réserv ?
Est-il possible de réserver une chambre d'hôtel sans billets d'accès au parc ?,"Oui, il est possible de réserver une nuit dans un Hôtel Disney sans billets.Contactez nos Conseillers Disney au  0 825 300 500 (Service 0,15 €/min + prix appel).","Oui , il être possible de réserver un nuit dans un hôtel disney sans billet . contacter notre conseiller Disney au   0 825 300 500 ( service 0,15 € /min plus prix appel ) .",être - il possible de réserver un chambre de hôtel sans billet de accès au parc ?,"oui , il est possibl de réserv une nuit dan un hôtel disney san billets.contact nos conseiller disney au 0 825 300 500 ( servic 0,15 €/min + prix appel ) .",est-il possibl de réserv une chambr d'hôtel san billet d'acces au parc ?
"L’utilisation de perches télescopiques, utilisées notamment pour les selfies, est-elle autorisée dans les Parcs à Thèmes de Disneyland Paris ?","Non. Selon une règle de Walt Disney Parks and Resorts, l’utilisation de perches télescopiques pour appareils photos ou téléphones portables, utilisées notamment pour les selfies, est interdite dans les Parcs à Thèmes. Il est demandé aux Visiteurs de laisser les perches télescopiques dans leur voiture ou leur chambre d’hôtel à leur arrivée, ou de les ranger en consigne gratuite à Guest Storage, disponible à l’entrée des deux Parcs.","non . selon un règle de Walt Disney Parks and Resorts , l’ utilisation de perche télescopique pour appareil photo ou téléphone portable , utilisées notamment pour le selfie , être interdire dans le parc à Thèmes . il être demander al visiteur de laisser le perche télescopique dans leur voiture ou leur chambre d’ hôtel à leur arrivée , ou de le ranger en consigne gratuite à Guest Storage , disponible à l’ entrer un deux parc .","L’ utilisation de perche télescopique , utilisées notamment pour le selfie , est-elle autoriser dans le parc à thème de Disneyland Paris ?","non . selon une regl de walt disney park and resort , l ’ utilis de perch télescop pour appareil photos ou téléphon portabl , utilis not pour le self , est interdit dan le parc à them . il est demand aux visiteur de laiss le perch télescop dan leur voitur ou leur chambr d ’ hôtel à leur arriv , ou de le rang en consign gratuit à guest storag , disponibl à l ’ entré de deux parc .","l ’ utilis de perch télescop , utilis not pour le self , est-el autoris dan le parc à them de disneyland paris ?"
"J'ai déjà effectué ma réservation, Disneyland Paris ajustera-t-il mon tarif ?","Non. Disneyland Paris n'ajustera pas votre tarif si vous avez déjà effectué votre réservation, sauf si vous souhaitez modifier votre réservation.","non . Disneyland Paris n' ajuster pas votre tarif si vous avoir déjà effectuer votre réservation , sauf si vous souhaiter modifier votre réservation .","je avoir déjà effectuer mon réservation , Disneyland Paris ajuster - t - il mon tarif ?","non . disneyland paris n'ajust pas votr tarif si vous avez déjà effectu votr réserv , sauf si vous souhait modifi votr réserv .","j'ai déjà effectu ma réserv , disneyland paris ajustera-t-il mon tarif ?"
Puis-je fumer dans les Parcs Disney ?,"Les espaces couverts et non couverts des Parcs à Thèmes sont non-fumeurs, des espaces extérieurs ont été spécialement aménagés à l'attention de nos visiteurs fumeurs. Ce règlement s'applique également aux cigarettes électroniques.","le espace couvert et non couvert un parc à thème être non-fumeur , un espace extérieur avoir être spécialement aménager à le attention de notre visiteur fumeur . ce règlement se applique également al cigarette électronique .",puis - je fumer dans le parc Disney ?,"le espac couvert et non couvert de parc à them sont non-fumeur , de espac extérieur ont été spécial aménag à l'attent de nos visiteur fumeur . ce regl s'appliqu égal aux cigaret électron .",puis-j fum dan le parc disney ?
Quel est le meilleur moment pour visiter Disneyland Paris ?,"Avec ses attractions, spectacles et parades magiques ouverts toute l'année, c'est toujours le bon moment de visiter Disneyland Paris. Mais voici quelques conseils pour profiter au mieux de votre séjour.Si vous souhaitez visiter les Parcs quand il y a peu de visiteurs, planifiez un séjour commençant et se terminant en milieu de semaine (de mardi à jeudi) à partir de mi-janvier jusqu'à mi-mars ou entre mi-avril et mi-mai. L'avantage d'une visite planifiée quand le nombre de visiteurs est faible est que les temps d'attente sont plus courts. Cependant, il est possible que peu de spectacles et événements soient programmés au cours de ces périodes.Si vous souhaitez séjourner aux Parcs Disney quand les heures d'ouverture sont étendues et davantage de spectacles sont disponibles, planifiez votre visite le week-end ou un long week-end, pendant l'été ou au moment des événements de saison spéciaux. Au cours de ces périodes, il y a beaucoup plus de visiteurs dans les Parcs DisneyConsultez les événements de saison.Découvrez les heures d'ouverture des Parcs Disney.Recherchez des billets et réservez votre aventure Disney.","avec son attraction , spectacle et parades magique ouvrir tout le année , ce être toujours le bon moment de visiter Disneyland Paris . mais voici quelque conseil pour profiter au mieux de votre séjour . si vous souhaiter visiter le parc quand il y avoir peu de visiteur , planifier un séjour commençant et se terminer en milieu de semaine ( de mardi à jeudi ) à partir de mi-janvier jusque à mi-mars ou entre mi-avril et mi-mai . le avantage de un visite planifier quand le nombre de visiteur être faible être que le temps de attente être plus court . cependant , il être possible que peu de spectacle et événement être programmer au cours de ce période . si vous souhaiter séjourner aux parc disney quand le heure de ouverture être étendre et davantage de spectacle être disponible , planifier votre visite le week - end ou un long week - end , pendant le été ou au moment un événement de saison spécial . au cours de ce période , il y avoir beaucoup plus de visiteur dans le parc disneyconsulter le événement de saison . découvrir le heure de ouverture un parc Disney . recherchez un billet et réserver votre aventure disney .",quel être le meilleur moment pour visiter Disneyland Paris ?,"avec se attract , spectacl et parad magiqu ouvert tout l'ann , c'est toujour le bon moment de visit disneyland paris . mais voic quelqu conseil pour profit au mieux de votr séjour.s vous souhait visit le parc quand il y a peu de visiteur , planif un séjour commenc et se termin en milieu de semain ( de mard à jeud ) à part de mi-janvi jusqu ' à mi-mar ou entre mi-avril et mi-m . l'avantag d'un visit planifi quand le nombr de visiteur est faibl est que le temp d'attent sont plus court . cepend , il est possibl que peu de spectacl et éven soient programm au cour de ce périodes.s vous souhait séjourn aux parc disney quand le heur d'ouvertur sont étendu et davantag de spectacl sont disponibl , planif votr visit le week-end ou un long week-end , pend l'et ou au moment de éven de saison spécial . au cour de ce périod , il y a beaucoup plus de visiteur dan le parc disneyconsult le éven de saison.découvr le heur d'ouvertur de parc disney.recherch de billet et réserv votr aventur disney .",quel est le meilleur moment pour visit disneyland paris ?
